market,h,ret,excess,rsi_evict
IN,63,-7.700743267942,-1.7735062502838517,29.9
IN,21,7.963236711870936,7.495430761990307,44.9
IN,63,-1.8317372581785452,-2.6198736920249988,44.9
IN,21,6.12550314789968,6.5592218693668265,42.8
IN,63,32.50077407369181,34.28063425767497,42.8
IN,21,-1.1030810193990215,1.2202537905283695,43.2
IN,63,6.580448839863062,9.753916669429207,43.2
IN,21,-7.591791393826009,-5.4333799323261776,47.4
IN,63,-6.61541159962582,-3.2358196727861777,47.4
IN,21,-3.7060047839458155,-0.7830877102123712,34.7
IN,63,15.687614550650796,20.09207956885077,34.7
IN,21,5.094294864191662,6.1815995629720515,40.6
IN,63,9.295061874827027,18.973632656404803,40.6
IN,21,2.609004804142301,2.1411988542616722,40.5
IN,63,16.686873843405014,15.89873740955856,40.5
IN,21,3.8801640028349516,4.313882724302099,48.7
IN,63,-2.404403436376046,0.7690643931900998,48.7
IN,21,-5.003968117042201,-5.201932075985294,32.8
IN,63,0.18701908146716573,2.5492110731888284,32.8
IN,21,-1.7152432071641077,-1.7171007174540454,43.6
IN,63,2.1699529994159805,5.091066856344895,43.6
IN,21,6.98388228023028,6.98388228023028,43.2
IN,63,-7.631785448914263,-1.705959534460077,43.2
IN,21,4.243838413300272,5.33114311208066,28.1
IN,63,-13.679451655242826,-4.171243515469936,28.1
IN,21,-14.609172194981246,-14.09220705160611,49.3
IN,63,-17.32044995673493,-13.933897495613934,49.3
IN,21,-7.365347177157688,-5.593298212177855,29.3
IN,63,-4.120700843608038,0.7944954330288088,29.3
IN,21,7.9610791685094995,9.379940563121092,28.9
IN,63,-11.609907120743035,-8.25667043560172,28.9
IN,21,-3.2366649404453662,-2.390551772809202,32.2
IN,63,5.815639564992248,9.19523149183189,32.2
IN,21,-9.932904799887387,-8.177149280316309,51.0
IN,63,-23.441092291089948,-17.5138552734318,51.0
IN,21,14.600100603621735,18.823708122639115,39.4
IN,63,25.15090543259557,30.894987470461423,39.4
IN,21,16.193181818181813,15.425922823507788,43.2
IN,63,17.400568181818187,16.612431747971733,43.2
IN,21,8.323632130384162,9.102284137063233,45.5
IN,63,-1.1641443538998875,7.330494206429462,45.5
IN,21,4.752275025278041,6.755831177279603,40.3
IN,63,11.75429726996966,15.08277059823775,40.3
IN,21,11.384836163597223,12.803697558208816,42.5
